Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
285130	KR7285130001	SK케미칼	KOSPI		36800	1	150	0.41	36150	37000	36150	5731	209789200	634939214400	17253783	STK
000640	KR7000640003	동아쏘시오홀딩스	KOSPI		97100	2	-400	-0.41	97300	97300	96400	1679	162569800	634687741400	6536434	STK
001570	KR7001570001	금양	KOSPI		9900	0	0	0.0	0	0	0	0	0	633275240400	63967196	STK
005250	KR7005250006	녹십자홀딩스	KOSPI		13440	1	190	1.43	13290	13460	13190	14919	199353135	632059142400	47028210	STK
085660	KR7085660009	차바이오텍	KOSDAQ	중견기업부	11210	1	430	3.99	10680	11390	10680	331368	3697077960	631284906030	56314443	KSQ
000155	KR7000151001	두산우	KOSPI		156600	1	800	0.51	155800	162800	152000	15169	2392248750	625845949200	3996462	STK
097230	KR7097230007	HJ중공업	KOSPI		7500	2	-60	-0.79	7320	7560	7270	471592	3499428290	624557107500	83274281	STK
460930	KR7460930001	현대힘스	KOSDAQ	중견기업부	17570	1	290	1.68	16850	17710	16830	251406	4388564930	622422011470	35425271	KSQ
006380	KR7006380000	카프로	KOSPI		3660	0	0	0.0	0	0	0	0	0	618539985360	168999996	STK
001430	KR7001430008	세아베스틸지주	KOSPI		17100	1	30	0.18	17040	17180	16770	24406	416668615	613242234900	35862119	STK
323280	KR7323280008	태성	KOSDAQ	중견기업부	20100	2	-650	-3.13	20100	20300	20000	97115	1954493125	611858673000	30440730	KSQ
047920	KR7047920004	HLB제약	KOSDAQ	기술성장기업부	19030	2	-90	-0.47	18920	19200	18900	58871	1123161410	605439335820	31814994	KSQ
005690	KR7005690003	파미셀	KOSPI		10040	2	-30	-0.3	9900	10160	9900	305956	3066352505	602570318560	60016964	STK
017810	KR7017810003	풀무원	KOSPI		15690	3	0	0.0	15530	15760	15510	35175	550323515	598111303980	38120542	STK
00680K	KR700680K019	미래에셋증권2우B	KOSPI		4340	1	90	2.12	4250	4345	4235	214551	922512357	596750000000	137500000	STK
025980	KR7025980004	아난티	KOSDAQ	우량기업부	6720	2	-70	-1.03	6680	6860	6670	273630	1844329515	595590092160	88629478	KSQ
066575	KR7066571001	LG전자우	KOSPI		34550	3	0	0.0	34500	34600	34350	2801	96573775	593776023600	17185992	STK
071320	KR7071320006	지역난방공사	KOSPI		51100	1	700	1.39	51000	52000	50700	7128	364863250	591673818400	11578744	STK
025320	KR7025320003	시노펙스	KOSDAQ	우량기업부	6680	1	100	1.52	6510	6810	6440	456592	3035296145	587783687600	87991570	KSQ
057050	KR7057050007	현대홈쇼핑	KOSPI		48500	1	50	0.1	48250	48500	48050	1280	61805700	582000000000	12000000	STK
475830	KR7475830006	오름테라퓨틱	KOSDAQ	기술성장기업부	27400	3	0	0.0	27050	28050	26950	353262	9789445200	573457833200	20929118	KSQ
101730	KR7101730000	위메이드맥스	KOSDAQ	우량기업부	6880	2	-20	-0.29	6930	6960	6880	10379	71747470	570597038080	82935616	KSQ
016380	KR7016380008	KG스틸	KOSPI		5670	1	50	0.89	5560	5700	5550	19164	108117200	567050445990	100008897	STK
340570	KR7340570001	티앤엘	KOSDAQ	우량기업부	69300	2	-2100	-2.94	70900	71100	69200	29053	2027062700	563270400000	8128000	KSQ
