Unnamed: 0	Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
911	0099W0	KR70099W0008	미래에셋비전스팩11호	KOSDAQ	SPAC(소속부없음)	-	3									7000000	KSQ
912	477380	KR7477380000	미래에셋비전스팩4호	KOSDAQ	SPAC(소속부없음)	-	3									8100000	KSQ
913	477470	KR7477470009	미래에셋비전스팩5호	KOSDAQ	SPAC(소속부없음)	-	3									5480000	KSQ
914	478440	KR7478440001	미래에셋비전스팩6호	KOSDAQ	SPAC(소속부없음)	-	3									6930000	KSQ
915	482680	KR7482680006	미래에셋비전스팩7호	KOSDAQ	SPAC(소속부없음)	-	3									8215000	KSQ
916	0093G0	KR70093G0004	미래에셋비전스팩8호	KOSDAQ	SPAC(소속부없음)	-	3									6400000	KSQ
917	0096D0	KR70096D0004	미래에셋비전스팩9호	KOSDAQ	SPAC(소속부없음)	-	3									5500000	KSQ
918	085620	KR7085620003	미래에셋생명	KOSPI		-	3									177016189	STK
919	006800	KR7006800007	미래에셋증권	KOSPI		-	3									555316408	STK
920	00680K	KR700680K019	미래에셋증권2우B	KOSPI		-	3									136500000	STK
921	006805	KR7006801005	미래에셋증권우	KOSPI		-	3									14075750	STK
923	049950	KR7049950009	미래컴퍼니	KOSDAQ	우량기업부	-	3									8817884	KSQ
924	207760	KR7207760000	미스터블루	KOSDAQ	중견기업부	-	3									83079783	KSQ
925	081660	KR7081660003	미스토홀딩스	KOSPI		-	3									53091840	STK
926	002840	KR7002840007	미원상사	KOSPI		-	3									4750000	STK
927	268280	KR7268280005	미원에스씨	KOSPI		-	3									5000000	STK
928	107590	KR7107590002	미원홀딩스	KOSPI		-	3									2320000	STK
929	134380	KR7134380005	미원화학	KOSPI		-	3									21992680	STK
931	003650	KR7003650009	미창석유	KOSPI		-	3									1739672	STK
932	059090	KR7059090001	미코	KOSDAQ	중견기업부	-	3									33416778	KSQ
933	201490	KR7201490000	미투온	KOSDAQ	중견기업부	-	3									32593810	KSQ
934	475460	KR7475460002	미트박스	KOSDAQ	중견기업부	-	3									5613025	KSQ
935	452200	KR7452200009	민테크	KOSDAQ	기술성장기업부	-	3									23803489	KSQ
936	206640	KR7206640005	바디텍메드	KOSDAQ	우량기업부	-	3									21907921	KSQ
937	018700	KR7018700005	바른손	KOSDAQ	투자주의환기종목(소속부없음)	-	3									35119757	KSQ
938	035620	KR7035620004	바른손이앤에이	KOSDAQ	중견기업부	-	3									74439675	KSQ
940	053030	KR7053030003	바이넥스	KOSDAQ	중견기업부	-	3									32684188	KSQ
941	301300	KR7301300000	바이브컴퍼니	KOSDAQ	기술성장기업부	-	3									13154712	KSQ
942	377740	KR7377740006	바이오노트	KOSPI		-	3									101726048	STK
943	064550	KR7064550007	바이오니아	KOSDAQ	벤처기업부	-	3									25810291	KSQ
944	314930	KR7314930009	바이오다인	KOSDAQ	기술성장기업부	-	3									29764103	KSQ
945	489460	KR7489460006	바이오비쥬	KOSDAQ	벤처기업부	-	3									15044430	KSQ
946	086820	KR7086820008	바이오솔루션	KOSDAQ	기술성장기업부	-	3									25924085	KSQ
947	038460	KR7038460002	바이오스마트	KOSDAQ	우량기업부	-	3									26164438	KSQ
948	251120	KR7251120002	바이오에프디엔씨	KOSDAQ	기술성장기업부	-	3									8695700	KSQ
949	199730	KR7199730003	바이오인프라	KOSDAQ	벤처기업부	-	3									4864367	KSQ
952	086040	KR7086040003	바이오톡스텍	KOSDAQ	벤처기업부	-	3									15958247	KSQ
953	188040	KR7188040000	바이오포트	KOSDAQ	벤처기업부	-	3									4679308	KSQ
955	099430	KR7099430001	바이오플러스	KOSDAQ	우량기업부	-	3									61640722	KSQ
956	032980	KR7032980005	바이온	KOSDAQ	관리종목(소속부없음)	-	3									30388995	KSQ
957	308080	KR7308080001	바이젠셀	KOSDAQ	기술성장기업부	-	3									20499260	KSQ
958	043150	KR7043150002	바텍	KOSDAQ	우량기업부	-	3									14854256	KSQ
959	323990	KR7323990002	박셀바이오	KOSDAQ	기술성장기업부	-	3									23257345	KSQ
960	003610	KR7003610003	방림	KOSPI		-	3									40202158	STK
961	267790	KR7267790004	배럴	KOSDAQ	벤처기업부	-	3									7689309	KSQ
962	046310	KR7046310009	백금T&A	KOSDAQ	우량기업부	-	3									16418641	KSQ
963	035150	KR7035150002	백산	KOSPI		-	3									20310153	STK
964	331520	KR7331520007	밸로프	KOSDAQ	중견기업부	-	3									50864390	KSQ
965	199480	KR7199480005	뱅크웨어글로벌	KOSDAQ	기술성장기업부	-	3									10196588	KSQ
966	438700	KR7438700007	버넥트	KOSDAQ	기술성장기업부	-	3									11144890	KSQ
967	066410	KR7066410002	버킷스튜디오	KOSDAQ	투자주의환기종목(소속부없음)	-	3									138453818	KSQ
968	002410	KR7002410009	범양건영	KOSPI		-	3									27479820	STK
969	382900	KR7382900009	범한퓨얼셀	KOSDAQ	벤처기업부	-	3									8761000	KSQ
970	206400	KR7206400004	베노티앤알	KOSDAQ	중견기업부	-	3									37510158	KSQ
971	019010	KR7019010008	베뉴지	KOSDAQ	중견기업부	-	3									48200000	KSQ
972	177350	KR7177350006	베셀	KOSDAQ	투자주의환기종목(소속부없음)	-	3									19653767	KSQ
973	457600	KR7457600005	벡트	KOSDAQ	벤처기업부	-	3									13707500	KSQ
974	424760	KR7424760007	벨로크	KOSDAQ	벤처기업부	-	3									19778317	KSQ
975	007210	KR7007210008	벽산	KOSPI		-	3									65360000	STK
976	250000	KR7250000007	보라티알	KOSDAQ	우량기업부	-	3									6750733	KSQ
977	002760	KR7002760007	보락	KOSPI		-	3									59900000	STK
978	003850	KR7003850005	보령	KOSPI		-	3									85787207	STK
979	310210	KR7310210000	보로노이	KOSDAQ	기술성장기업부	-	3									18402171	KSQ
980	006910	KR7006910004	보성파워텍	KOSDAQ	벤처기업부	-	3									49129824	KSQ
981	0010F0	KR70010F0005	보원케미칼	KOSDAQ	벤처기업부	-	3									11143601	KSQ
982	000890	KR7000890004	보해양조	KOSPI		-	3									138120129	STK
983	226340	KR7226340008	본느	KOSDAQ	벤처기업부	-	3									41952420	KSQ
986	003000	KR7003000007	부광약품	KOSPI		-	3									98664671	STK
987	001270	KR7001270008	부국증권	KOSPI		-	3									10369886	STK
988	001275	KR7001271006	부국증권우	KOSPI		-	3									3000000	STK
989	026940	KR7026940007	부국철강	KOSPI		-	3									20000000	STK
990	014470	KR7014470009	부방	KOSDAQ	중견기업부	-	3									60052260	KSQ
991	011390	KR7011390002	부산산업	KOSPI		-	3									1056000	STK
992	005030	KR7005030002	부산주공	KOSPI		-	3									92782988	STK
993	008470	KR7008470007	부스타	KOSDAQ	벤처기업부	-	3									8404800	KSQ
994	338220	KR7338220007	뷰노	KOSDAQ	기술성장기업부	-	3									14001823	KSQ
995	100120	KR7100120005	뷰웍스	KOSDAQ	우량기업부	-	3									8971411	KSQ
996	406820	KR7406820001	뷰티스킨	KOSDAQ	벤처기업부	-	3									14136157	KSQ
997	099390	KR7099390007	브레인즈컴퍼니	KOSDAQ	벤처기업부	-	3									8208283	KSQ
998	064480	KR7064480007	브리지텍	KOSDAQ	벤처기업부	-	3									11952500	KSQ
999	365900	KR7365900000	브이씨	KOSDAQ	벤처기업부	-	3									7310300	KSQ
1000	089970	KR7089970008	브이엠	KOSDAQ	우량기업부	-	3									24411695	KSQ
1001	251630	KR7251630000	브이원텍	KOSDAQ	벤처기업부	-	3									15942886	KSQ
1002	018290	KR7018290007	브이티	KOSDAQ	우량기업부	-	3									34941838	KSQ
1003	478560	KR7478560006	블랙야크아이앤씨	KOSDAQ	벤처기업부	-	3									25830298	KSQ
1004	006740	KR7006740005	블루산업개발	KOSPI		-	3									56975588	STK
1005	439580	KR7439580002	블루엠텍	KOSDAQ	기술성장기업부	-	3									33846547	KSQ
1006	033560	KR7033560004	블루콤	KOSDAQ	중견기업부	-	3									17100000	KSQ
1008	369370	KR7369370002	블리츠웨이엔터테인먼트	KOSDAQ	벤처기업부	-	3									49871911	KSQ
1009	126340	KR7126340009	비나텍	KOSDAQ	벤처기업부	-	3									6947069	KSQ
1010	121800	KR7121800007	비덴트	KOSDAQ	관리종목(소속부없음)	-	3									77201611	KSQ
1011	082800	KR7082800004	비보존 제약	KOSDAQ	중견기업부	-	3									60719666	KSQ
1012	318410	KR7318410008	비비씨	KOSDAQ	중견기업부	-	3									5555243	KSQ
1013	002070	KR7002070001	비비안	KOSPI		-	3									45196077	STK
1014	100220	KR7100220003	비상교육	KOSPI		-	3									12996741	STK
1015	419540	KR7419540000	비스토스	KOSDAQ	벤처기업부	-	3									22992511	KSQ
1016	146320	KR7146320007	비씨엔씨	KOSDAQ	벤처기업부	-	3									12797923	KSQ
1017	200780	KR7200780005	비씨월드제약	KOSDAQ	중견기업부	-	3									9736240	KSQ
1018	413640	KR7413640004	비아이매트릭스	KOSDAQ	벤처기업부	-	3									7206940	KSQ
1019	141000	KR7141000000	비아트론	KOSDAQ	벤처기업부	-	3									12114710	KSQ
